"","code_com","popnum"
"1","216",710
"2","033",3574
"3","009",5554
"4","225",2671
"5","890",1313
"6","018",5182
"7","113",5604
"8","319",3218
"9","097",2662
"10","070",5441
"11","046",3
"12","524",1141
"13","245",5537
"14","388",5439
"15","342",2495
"16","181",3134
"17","269",522
"18","126",581
"19","541",3055
"20","232",245
"21","547",5164
"22","332",5469
"23","107",955
"24","364",4926
"25","311",4061
"26","063",1394
"27","075",5410
"28","110",1184
"29","535",532
"30","355",532
"31","123",4701
"32","505",5114
"33","204",4222
"34","200",5663
"35","840",694
"36","159",4012
"37","032",3064
"38","085",5237
"39","113",474
"40","195",120
"41","489",518
"42","242",5547
"43","549",1168
"44","396",1474
"45","042",1859
"46","143",4180
"47","202",2060
"48","091",70
"49","113",2542
"50","295",1554
"51","232",3839
"52","219",4921
"53","220",4190
"54","382",4392
"55","529",3574
"56","268",1447
"57","065",4993
"58","159",5319
"59","341",1718
"60","044",3844
"61","108",999
"62","207",2089
"63","333",538
"64","329",1381
"65","697",2505
"66","306",4398
"67","165",4418
"68","457",2447
"69","148",5469
"70","532",2871
"71","498",4657
"72","054",3507
"73","416",1672
"74","374",2719
"75","384",434
"76","329",2495
"77","793",2101
"78","202",418
"79","125",2739
"80","666",4743
"81","286",4072
"82","207",518
"83","031",5312
"84","181",2374
"85","523",2384
"86","249",283
"87","401",3803
"88","100",4344
"89","437",390
"90","313",2013
"91","161",2795
"92","162",1488
"93","395",5505
"94","188",3754
"95","446",4517
"96","358",1696
"97","051",195
"98","294",3252
"99","504",768
"100","219",1647
"101","024",1461
"102","496",5082
"103","433",4794
"104","103",4538
"105","216",851
"106","581",1813
"107","274",4394
"108","086",5551
"109","320",3237
"110","383",2474
"111","137",899
"112","046",5419
"113","046",1158
"114","300",1568
"115","253",1932
"116","190",3333
"117","140",2943
"118","216",4072
"119","157",1423
"120","076",5571
"121","162",86
"122","104",4617
"123","421",3810
"124","453",3735
"125","343",411
"126","291",1171
"127","227",4755
"128","109",4968
"129","758",272
"130","197",2412
"131","326",2054
"132","024",621
"133","150",1837
"134","213",449
"135","088",61
"136","148",4901
"137","460",3024
"138","598",4133
"139","122",1387
"140","032",1719
"141","128",3132
"142","353",1097
"143","280",1083
"144","271",1073
"145","011",5566
"146","332",3867
"147","158",2394
"148","105",5465
"149","043",2469
"150","523",569
"151","449",1554
"152","195",4348
"153","172",618
"154","732",4779
"155","538",2234
"156","109",955
"157","277",2314
"158","172",2316
"159","404",2002
"160","011",2719
"161","329",574
"162","187",2770
"163","444",129
"164","170",226
"165","207",5463
"166","131",3150
"167","602",1256
"168","293",4345
"169","475",4039
"170","007",5574
"171","301",1672
"172","703",2326
"173","373",2391
"174","174",3950
"175","581",4784
"176","062",3876
"177","068",2930
"178","030",5412
"179","155",2384
"180","310",4795
"181","585",4405
"182","481",3808
"183","273",1568
"184","056",1259
"185","313",2280
"186","306",4874
"187","471",3258
"188","175",4693
"189","296",400
"190","141",3348
"191","395",421
"192","315",3211
"193","032",4805
"194","430",3546
"195","149",4547
"196","139",647
"197","154",5426
"198","111",264
"199","528",1628
"200","250",4728
"201","275",4624
"202","262",282
"203","152",2697
"204","127",2080
"205","544",518
"206","511",1449
"207","054",5630
"208","519",1406
"209","063",2666
"210","599",602
"211","034",5094
"212","030",5386
"213","082",1313
"214","091",5449
"215","366",3735
"216","172",5554
"217","453",1634
"218","223",259
"219","405",355
"220","096",1512
"221","044",5484
"222","227",1763
"223","082",4706
"224","068",2036
"225","157",2303
"226","149",2651
"227","447",4159
"228","718",518
"229","416",4145
"230","229",5067
"231","207",209
"232","239",1110
"233","111",284
"234","016",1187
"235","250",3618
"236","135",1627
"237","242",843
"238","094",4625
"239","207",2597
"240","190",1313
"241","435",4299
"242","064",361
"243","127",5080
"244","264",5116
"245","296",1035
"246","126",1214
"247","230",4866
"248","254",3279
"249","004",733
"250","331",2759
"251","290",1016
"252","076",5297
"253","437",4724
"254","440",734
"255","212",3563
"256","447",711
"257","689",3574
"258","397",255
"259","346",2864
"260","471",5549
"261","304",2816
"262","617",2926
"263","281",2099
"264","058",4124
"265","452",2384
"266","070",4383
"267","172",5247
"268","598",4840
"269","394",5182
"270","011",1485
"271","152",868
"272","004",5270
"273","139",676
"274","016",518
"275","134",4375
"276","429",4312
"277","221",3860
"278","115",3047
"279","118",173
"280","536",5333
"281","430",173
"282","542",5323
"283","286",2895
"284","314",3306
"285","197",4672
"286","156",243
"287","411",1749
"288","116",4465
"289","002",1310
"290","174",5463
"291","467",2208
"292","255",2658
"293","251",3235
"294","459",4330
"295","087",2697
"296","130",3948
"297","484",5346
"298","062",750
"299","493",2897
"300","017",5357
"301","058",1353
"302","040",3909
"303","224",249
"304","491",341
"305","167",4968
"306","243",140
"307","010",21
"308","080",2824
"309","128",3401
"310","279",4865
"311","051",3368
"312","047",2569
"313","252",4344
"314","383",2542
"315","035",2535
"316","547",4587
"317","043",4514
"318","487",4802
"319","445",998
"320","474",3134
"321","117",4173
"322","269",2913
"323","485",97
"324","161",2605
"325","220",4078
"326","545",1096
"327","270",2192
"328","172",5428
"329","161",5621
"330","123",4233
"331","254",1581
"332","646",3484
"333","019",2669
"334","199",446
"335","088",1157
"336","138",5262
"337","221",911
"338","333",3741
"339","206",226
"340","291",1049
"341","183",88
"342","268",1381
"343","170",599
"344","252",220
"345","227",532
"346","241",1158
"347","228",2714
"348","452",224
"349","056",4503
"350","265",5238
"351","232",4026
"352","054",4360
"353","413",25
"354","493",3636
"355","888",1981
"356","359",3490
"357","313",4546
"358","135",4325
"359","190",4769
"360","374",1691
"361","044",319
"362","351",901
"363","161",2042
"364","383",5109
"365","139",865
"366","298",1634
"367","396",2902
"368","170",4569
"369","474",941
"370","597",4356
"371","246",465
"372","765",1942
"373","515",2234
"374","545",5412
"375","084",623
"376","097",581
"377","723",3641
"378","185",4896
"379","139",2349
"380","136",2119
"381","610",4692
"382","440",883
"383","328",139
"384","022",5221
"385","024",1096
"386","300",2888
"387","121",5291
"388","172",2597
"389","442",2008
"390","188",1302
"391","009",616
"392","408",3095
"393","121",1763
"394","259",4222
"395","295",590
"396","003",4639
"397","146",5012
"398","314",1611
"399","294",5182
"400","392",2830
"401","207",3152
"402","157",3093
"403","288",5653
"404","353",3995
"405","224",4099
"406","416",115
"407","174",2953
"408","281",3528
"409","489",3628
"410","345",4173
"411","264",1525
"412","165",3170
"413","275",292
"414","235",4970
"415","394",2459
"416","403",5235
"417","172",4468
"418","216",4105
"419","403",1406
"420","476",1119
"421","299",633
"422","019",4912
"423","223",2714
"424","516",4017
"425","237",3969
"426","041",694
"427","030",299
"428","244",5225
"429","023",1634
"430","193",3546
"431","165",3059
"432","482",2894
"433","230",2777
"434","031",4277
"435","226",884
"436","308",1035
"437","585",3711
"438","166",173
"439","008",3257
"440","396",465
"441","090",2542
"442","094",2819
"443","371",4712
"444","329",3300
"445","057",981
"446","288",1991
"447","309",3781
"448","335",4078
"449","368",519
"450","101",3893
"451","276",482
"452","355",2605
"453","021",4565
"454","325",4196
"455","829",3520
"456","456",2816
"457","584",1461
"458","268",1723
"459","273",412
"460","330",5359
"461","093",2902
"462","234",3046
"463","007",173
"464","454",3726
"465","331",5523
"466","400",383
"467","299",2550
"468","192",3484
"469","184",226
"470","037",265
"471","453",755
"472","448",264
"473","076",3964
"474","185",3441
"475","260",2036
"476","078",3296
"477","169",2688
"478","483",256
"479","198",2852
"480","083",5319
"481","373",2576
"482","564",3984
"483","327",3652
"484","412",3765
"485","099",2222
"486","027",1381
"487","078",2751
"488","229",4897
"489","021",565
"490","013",1837
"491","442",250
"492","423",3033
"493","176",115
"494","153",1529
"495","249",5503
"496","240",5534
"497","268",3083
"498","431",4324
"499","108",2217
"500","275",833
"501","449",4472
"502","036",3180
"503","052",1491
"504","143",4388
"505","152",2502
"506","128",1005
"507","018",4173
"508","254",418
"509","640",2202
"510","134",1696
"511","290",1122
"512","685",3629
"513","216",72
"514","159",5105
"515","298",2777
"516","148",2895
"517","125",1835
"518","082",5371
"519","063",1298
"520","138",3882
"521","098",972
"522","209",4336
"523","273",4587
"524","458",631
"525","088",1672
"526","422",150
"527","144",3211
"528","234",4293
"529","338",1739
"530","385",3162
"531","037",3803
"532","267",1763
"533","062",726
"534","205",1693
"535","364",2537
"536","380",1647
"537","044",434
"538","208",807
"539","472",4816
"540","017",807
"541","576",5580
"542","473",3611
"543","044",2089
"544","106",567
"545","142",2805
"546","553",449
"547","152",580
"548","049",2629
"549","055",3658
"550","371",1749
"551","010",5438
"552","132",532
"553","731",1368
"554","330",3679
"555","666",374
"556","031",4613
"557","569",1022
"558","437",1228
"559","586",3333
"560","189",5559
"561","077",2009
"562","115",35
"563","002",3018
"564","276",1242
"565","194",5382
"566","183",955
"567","190",4439
"568","003",2108
"569","066",3969
"570","125",428
"571","253",4639
"572","081",5440
"573","063",3984
"574","046",110
"575","115",245
"576","051",819
"577","029",4805
"578","287",3207
"579","532",5438
"580","144",5455
"581","325",5367
"582","097",5563
"583","139",4299
"584","079",4869
"585","225",1017
"586","176",4233
"587","146",537
"588","071",4383
"589","103",2470
"590","429",2777
"591","179",4603
"592","203",927
"593","174",4744
"594","751",705
"595","381",5438
"596","164",5189
"597","196",710
"598","200",5182
"599","284",4235
"600","252",3258
"601","195",3802
"602","067",1611
"603","222",2547
"604","146",482
"605","307",609
"606","250",1802
"607","378",2469
"608","227",3334
"609","404",264
"610","470",2826
"611","809",567
"612","016",2816
"613","223",1038
"614","065",3203
"615","360",4403
"616","234",2469
"617","028",4414
"618","765",5362
"619","115",3131
"620","020",1430
"621","258",2787
"622","145",3766
"623","022",803
"624","026",5336
"625","135",883
"626","325",1593
"627","340",4517
"628","468",3898
"629","454",3218
"630","418",973
"631","062",5060
"632","626",2032
"633","059",449
"634","580",2188
"635","326",1942
"636","234",2830
"637","319",4273
"638","266",3742
"639","089",617
"640","132",187
"641","009",102
"642","043",1892
"643","005",2879
"644","370",4721
"645","174",25
"646","405",5593
"647","279",402
"648","122",4162
"649","235",565
"650","008",3279
"651","186",988
"652","237",3131
"653","023",173
"654","391",2448
"655","324",209
"656","210",118
"657","172",5676
"658","279",5389
"659","039",1298
"660","414",2542
"661","124",665
"662","151",1285
"663","100",5086
"664","159",295
"665","241",2542
"666","128",4662
"667","031",5568
"668","211",3409
"669","303",4162
"670","100",3319
"671","195",88
"672","001",4222
"673","231",2282
"674","115",5581
"675","123",916
"676","256",3928
"677","364",3014
"678","081",2963
"679","729",5079
"680","137",4599
"681","163",2164
"682","446",173
"683","485",5551
"684","101",5271
"685","180",1749
"686","497",3754
"687","647",4961
"688","482",4105
"689","278",1341
"690","468",25
"691","120",1148
"692","063",5012
"693","150",1489
"694","185",1236
"695","388",4282
"696","093",3162
"697","373",1340
"698","017",448
"699","092",5114
"700","369",4680
"701","517",3382
"702","494",3786
"703","173",5508
"704","349",4058
"705","258",444
"706","028",4344
"707","272",1847
"708","454",1681
"709","216",3366
"710","120",3093
"711","600",449
"712","215",1696
"713","542",43
"714","200",4599
"715","445",1837
"716","147",465
"717","148",4008
"718","544",1791
"719","159",5409
"720","549",2303
"721","243",1094
"722","251",1285
"723","423",448
"724","311",2972
"725","213",1887
"726","528",3279
"727","442",70
