"","cod_dept","area","pop"
"1","32","966","139"
"2","47","1019","414"
"3","32","932","95"
"4","38","3371","2973"
"5","62","1023","178"
"6","08","438","80"
"7","32","919","97"
"8","10","1904","362"
"9","06","2217","296"
"10","42","2667","901"
"11","31","306","10"
"12","71","1261","166"
"13","53","4223","941"
"14","16","417","900"
"15","38","1453","279"
"16","50","826","351"
"17","78","2574","1272"
"18","50","371","131"
"19","25","1844","341"
"20","55","562","112"
"21","31","2532","7954"
"22","33","1336","912"
"23","14","695","154"
"24","55","3603","719"
"25","88","428","50"
"26","18","2400","184"
"27","47","1301","889"
"28","07","1300","1689"
"29","02","1104","128"
"30","64","720","128"
"31","41","954","652"
"32","71","657","78"
"33","57","670","535"
"34","33","938","9939"
"35","62","318","138"
"36","86","4067","489"
"37","24","1930","342"
"38","39","1038","82"
"39","82","3856","1245"
"40","49","892","1055"
"41","38","743","127"
"42","69","758","945"
"43","27","522","1678"
"44","62","225","19"
"45","12","2308","220"
"46","23","2314","527"
"47","12","1127","23741"
"48","02","527","103"
"49","45","1220","284"
"50","70","997","196"
"51","50","1169","456"
"52","63","2189","717"
"53","81","6658","5290"
"54","57","1312","573"
"55","27","291","414"
"56","76","1202","188"
"57","52","1180","74"
"58","30","1037","847"
"59","50","584","2085"
"60","24","2062","457"
"61","67","737","1570"
"62","11","467","240"
"63","77","1009","12824"
"64","32","1270","183"
"65","80","305","28"
"66","02","2416","574"
"67","31","1494","5782"
"68","32","767","274"
"69","43","1122","912"
"70","55","2263","318"
"71","51","1014","64"
"72","82","782","404"
"73","55","1534","205"
"74","52","713","303"
"75","65","274","122"
"76","46","2635","279"
"77","80","2904","2411"
"78","04","1490","121"
"79","72","2145","305"
"80","57","381","6619"
"81","18","2997","503"
"82","10","1168","127"
"83","77","1686","845"
"84","56","127","2667"
"85","77","932","268"
"86","31","1026","1139"
"87","28","1270","450"
"88","2A","2065","56"
"89","54","927","1194"
"90","77","442","233"
"91","63","285","311"
"92","25","228","191"
"93","63","978","929"
"94","57","1678","442"
"95","70","1274","602"
"96","32","982","207"
"97","81","3064","1093"
"98","70","839","367"
"99","76","406","142"
"100","45","959","203"
"101","41","2267","189"
"102","61","702","768"
"103","76","1195","676"
"104","24","1634","608"
"105","80","467","147"
"106","51","401","216"
"107","62","1052","5735"
"108","86","4346","948"
"109","01","1665","3651"
"110","14","568","2766"
"111","31","336","150"
"112","38","1108","893"
"113","08","1916","167"
"114","09","1135","197"
"115","19","1993","226"
"116","68","1036","38"
"117","06","1135","3267"
"118","41","1716","503"
"119","43","1689","18619"
"120","08","669","956"
"121","31","271","1039"
"122","70","2130","628"
"123","31","448","4514"
"124","02","729","439"
"125","08","1041","1205"
"126","10","557","168"
"127","37","1758","665"
"128","59","288","732"
"129","62","1291","11323"
"130","41","1576","271"
"131","50","1094","237"
"132","86","3286","1332"
"133","01","781","218"
"134","65","723","123"
"135","90","838","1025"
"136","44","3378","711"
"137","89","1698","3366"
"138","76","1124","516"
"139","69","640","1834"
"140","69","1275","2086"
"141","06","727","3504"
"142","01","462","1630"
"143","46","1175","162"
"144","35","3158","1613"
"145","67","1126","954"
"146","76","1130","462"
"147","40","10301","269"
"148","29","1913","9108"
"149","82","1238","276"
"150","80","1073","1301"
"151","88","632","196"
"152","59","130","561"
"153","74","410","1330"
"154","80","704","672"
"155","60","504","254"
"156","39","929","154"
"157","95","2030","26075"
"158","57","964","261"
"159","62","345","232"
"160","58","856","303"
"161","24","1716","1305"
"162","43","1683","308"
"163","61","589","106"
"164","80","408","111"
"165","39","526","91"
"166","10","1868","353"
"167","62","447","174"
"168","35","1227","560"
"169","21","2440","495"
"170","51","1174","957"
"171","61","1142","205"
"172","57","491","262"
"173","80","981","2687"
"174","91","1104","47632"
"175","70","1594","673"
"176","77","160","464"
"177","79","1919","325"
"178","54","796","89"
"179","50","476","268"
"180","80","1170","677"
"181","95","839","57533"
"182","39","542","451"
"183","25","970","197"
"184","22","2428","1742"
"185","03","2648","258"
"186","64","1090","703"
"187","77","1327","368"
"188","17","1435","650"
"189","02","868","1199"
"190","29","2770","382"
"191","65","4274","1211"
"192","07","3186","361"
"193","15","974","68"
"194","25","224","41"
"195","34","453","610"
"196","42","3259","1349"
"197","53","2190","896"
"198","58","1393","113"
"199","71","1807","2016"
"200","19","4333","659"
"201","64","793","629"
"202","17","2045","1138"
"203","26","1633","30"
"204","53","5834","2393"
"205","70","293","127"
"206","59","819","1881"
"207","34","2411","98"
"208","31","315","185"
"209","19","2025","2965"
"210","50","1252","1321"
"211","28","2781","773"
"212","01","95","876"
"213","12","6312","178"
"214","63","340","905"
"215","17","1567","439"
"216","70","320","95"
"217","33","745","202"
"218","67","621","1126"
"219","28","973","1177"
"220","02","1041","193"
"221","11","2628","92"
"222","23","3661","212"
"223","53","1863","653"
"224","67","228","235"
"225","66","1021","26"
"226","73","621","295"
"227","27","616","521"
"228","02","242","127"
"229","16","2231","519"
"230","34","5672","763"
"231","49","445","110"
"232","65","567","164"
"233","63","322","114"
"234","77","533","1690"
"235","70","1033","420"
"236","01","2722","2015"
"237","22","2181","1465"
"238","74","1357","6292"
"239","71","1045","289"
"240","37","851","178"
"241","80","360","55"
"242","30","3810","118"
"243","42","3328","7673"
"244","59","801","781"
"245","64","485","159"
"246","65","651","171"
"247","10","1511","700"
"248","81","1845","372"
"249","52","513","14"
"250","54","1166","307"
"251","86","722","1579"
"252","58","1481","84"
"253","78","720","658"
"254","80","504","140"
"255","54","864","412"
"256","61","943","1390"
"257","62","751","414"
"258","63","5003","1124"
"259","59","214","3173"
"260","63","1921","946"
"261","61","597","313"
"262","91","942","3244"
"263","14","1106","241"
"264","64","740","514"
"265","70","1486","268"
"266","50","188","57"
"267","69","437","823"
"268","02","978","691"
"269","64","353","80"
"270","73","1731","19071"
"271","05","3717","148"
"272","57","478","83"
"273","44","1777","1368"
"274","69","427","127"
"275","79","2126","567"
"276","77","376","553"
"277","34","3132","461"
"278","03","2830","340"
"279","10","716","108"
"280","59","754","854"
"281","55","1250","108"
"282","39","874","85"
"283","57","1091","321"
"284","72","1668","376"
"285","11","719","645"
"286","24","2386","1119"
"287","02","930","211"
"288","23","3488","590"
"289","26","2608","1778"
"290","80","234","91"
"291","33","1119","252"
"292","30","1214","2957"
"293","72","1261","365"
"294","17","2021","557"
"295","02","452","30"
"296","39","762","476"
"297","24","1572","860"
"298","02","671","141"
"299","27","858","3213"
"300","29","1397","865"
"301","45","466","181"
"302","52","970","47"
"303","68","2238","112063"
"304","25","386","117"
"305","86","1126","732"
"306","16","1634","1066"
"307","45","663","1008"
"308","49","1460","3136"
"309","84","946","39"
"310","10","844","70"
"311","02","762","385"
"312","84","1488","2863"
"313","10","164","56"
"314","52","1727","284"
"315","02","1077","283"
"316","02","519","62"
"317","36","3015","601"
"318","27","1591","679"
"319","32","626","157"
"320","39","415","351"
"321","18","3806","525"
"322","45","1030","3230"
"323","17","600","1044"
"324","54","1522","290"
"325","71","2268","504"
"326","70","687","163"
"327","55","402","25"
"328","77","1783","897"
"329","86","4132","975"
"330","62","1601","537"
"331","2A","9626","198"
"332","14","709","401"
"333","36","2841","297"
"334","22","1936","1227"
"335","79","4747","1669"
"336","33","3385","8276"
"337","44","1072","1508"
"338","55","664","44"
